城市,经度,纬度
西宁,101.74,36.56
兰州,103.83,36.03
银川,106.27,38.47
西安,108.95,34.27
郑州,113.65,34.76
济南,117.0,36.65
石家庄,114.48,38.03
太原,112.53,37.87
呼和浩特,111.65,40.82
北京,116.407526,39.90403
天津,117.200983,39.084158
沈阳,123.48,41.8
长春,125.32,43.88
哈尔滨,126.63,45.75
上海,121.473701,31.230416
杭州,120.19,30.26
南京,118.78,32.04
合肥,117.27,31.86
武汉,114.31,30.52
长沙,113.0,28.21
南昌,115.89,28.68
福州,119.3,26.08
台北,121.3,25.03
香港,114.173355,22.320048
澳门,113.54909,22.198951
广州,113.23,23.16
海口,110.35,20.02
南宁,108.33,22.84
贵阳,106.71,26.57
重庆,106.551556,29.563009
成都,104.06,30.67
昆明,102.73,25.04
拉萨,91.11,29.97
乌鲁木齐,87.68,43.77
